code,long_title,precision,recall,f1,tp,fp,fn,test_count,train_frequency
01N60ZZ,"Release Radial Nerve, Open Approach",0.0,0.0,0.0,0,0,2,2,12.0
01N80ZZ,"Release Thoracic Nerve, Open Approach",0.0,0.0,0.0,0,0,8,8,24.0
01NB0ZZ,"Release Lumbar Nerve, Open Approach",0.439716312025552,0.7749999999031251,0.5610859681808318,62,79,18,80,398.0
01NR0ZZ,"Release Sacral Nerve, Open Approach",0.0,0.0,0.0,0,0,4,4,19.0
01Q40ZZ,"Repair Ulnar Nerve, Open Approach",0.0,0.0,0.0,0,1,4,4,20.0
01Q50ZZ,"Repair Median Nerve, Open Approach",0.0,0.0,0.0,0,0,2,2,11.0
01Q60ZZ,"Repair Radial Nerve, Open Approach",0.0,0.0,0.0,0,0,2,2,12.0
0210093,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,1,4,4,19.0
0210099,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,0,9,9,35.0
021009W,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach",0.7857142856207484,0.9565217389918085,0.8627450929744971,66,18,3,69,347.0
02100A3,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,7.0
02100A8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,11.0
02100A9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,5,5,22.0
02100AW,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach",0.7555555553876543,0.8717948715713346,0.809523804356576,34,11,5,39,198.0
02100Z8,"Bypass Coronary Artery, One Artery from Right Internal Mammary, Open Approach",0.6888888887358025,0.8611111108719136,0.765432093638165,31,14,5,36,166.0
02100Z9,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach",0.9113149846816111,0.9900332225584706,0.9490445809656072,298,29,3,301,1416.0
0211093,"Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,11.0
021109W,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach",0.8512396693511373,0.8879310344062129,0.8691983071651623,103,18,13,116,496.0
02110A9,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,9.0
02110AW,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Open Approach",0.49999999875,0.33333333277777777,0.3999999944,2,2,4,6,30.0
02110Z8,"Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Open Approach",0.6999999992999999,0.7777777769135802,0.7368420995013849,7,3,2,9,41.0
02110Z9,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Open Approach",0.7499999997321428,0.8749999996354166,0.8076923024112426,21,7,3,24,118.0
0212093,"Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,0,3,3,17.0
021209W,"Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Open Approach",0.827160493725042,0.9178082190523551,0.8701298650303593,67,14,6,73,366.0
02120Z9,"Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Open Approach",0.0,0.0,0.0,0,0,2,2,10.0
021309W,"Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Venous Tissue, Open Approach",0.8695652170132325,0.9523809519274377,0.9090909036880166,20,3,1,21,94.0
02570ZK,"Destruction of Left Atrial Appendage, Open Approach",0.0,0.0,0.0,0,0,7,7,19.0
02580ZZ,"Destruction of Conduction Mechanism, Open Approach",0.6857142855183673,0.9999999995833333,0.8135593169319161,24,11,0,24,114.0
02583ZZ,"Destruction of Conduction Mechanism, Percutaneous Approach",0.7719298244259772,0.9777777775604938,0.8627450929392542,44,13,1,45,214.0
025M3ZZ,"Destruction of Ventricular Septum, Percutaneous Approach",0.4999999975,0.4999999975,0.4999999925000001,1,1,1,2,7.0
025S0ZZ,"Destruction of Right Pulmonary Vein, Open Approach",0.0,0.0,0.0,0,0,2,2,7.0
